Gene,IG Score After Training
FCRL1,0.00024289358407258987
OR10K1,0.00024343677796423435
ATP1A4,0.0002411116292933002
COPA,0.0002886686415877193
KCNJ10,0.00024191154807340354
CD48,0.00024270375433843583
LY9,0.00024353244225494564
NECTIN4,0.0002423525002086535
FCER1G,0.000244826398557052
CD84,0.00024352685431949794
SDHC,0.2689414322376251
ATF6,0.00023545618751086295
NOS1AP,0.00024201214546337724
SH2D1B,0.0002417434734525159
OLFML2B,0.00023882821551524103
RGS5,0.00022230821195989847
LOC101928404,0.2689414322376251
HSD17B7,0.2689414322376251
DDR2,0.0002931329363491386
LOC400794,0.2689414322376251
RXRG,0.00024262878287117928
LMX1A,0.00024305691476911306
FAM78B,0.00024009696790017188
RCSD1,0.00024063186720013618
POGK,0.00022670764883514494
MAEL,0.00024189217947423458
DUSP27,0.00024245443637482822
POU2F1,0.00023699314624536783
CD247,0.00024389282043557614
TBX19,0.00024004110309761018
ADCY10,0.00024155247956514359
DCAF6,0.00023087274166755378
LINC00970,0.2689414322376251
SLC19A2,0.000300203071674332
SELP,0.00024392027989961207
NME7,0.00024117965949699283
LOC101928650,0.2689414322376251
KIFAP3,0.0002577126433607191
VAMP4,0.0002375498879700899
MROH9,0.0002435521746519953
PRRC2C,0.00023212222731672227
LOC100506023,0.2689414322376251
CENPL,0.00024079067225102335
RC3H1,0.00023072704789228737
SLC9C2,0.00024330987071152776
RABGAP1L,0.0003023397584911436
TNR,0.0002965403546113521
ASTN1,0.00024214624136220664
PAPPA2,0.0002412213070783764
TEX35,0.00024207514070440084
RALGPS2,0.00024129835946951061
ABL2,0.0002347635308979079
FAM20B,0.0002868158044293523
AXDND1,0.000242433394305408
CEP350,0.00023130877525545657
NPHS2,0.00024254390154965222
XPR1,0.00023644760949537158
STX6,0.0002242687769467011
CACNA1E,0.0002436336944811046
ZNF648,0.00024087355996016413
RNASEL,0.00024008988111745566
DHX9,0.00022289676417130977
NMNAT2,0.00024333586043212563
LAMC2,0.00024792144540697336
LAMC1,0.0002401345263933763
RGL1,0.000237660642596893
COLGALT2,0.00029657004051841795
ARPC5,0.00023863748356234282
RNF2,0.00024164507340174168
SWT1,0.00024088250938802958
FAM129A,0.2689414322376251
C1orf27,0.2689414322376251
HMCN1,0.0002447120496071875
PLA2G4A,0.00024172804842237383
LINC01036,0.2689414322376251
BRINP3,0.0002994889800902456
LOC440704,0.2689414322376251
CDC73,0.00021541124442592263
LINC01031,0.2689414322376251
TROVE2,0.2689414322376251
KCNT2,0.00024071951338555664
CFH,0.00023905443958938122
CFHR5,0.0002427280560368672
CRB1,0.00024240752100013196
DENND1B,0.0002409656735835597
