Gene,IG Score Before Training,IG Score After Training,Difference
B4GALT5,0.20465735,0.20468926,3.1918287e-05
ADIPOR2,0.253899,0.25393084,3.182888e-05
SRD5A3,0.24315397,0.24318564,3.1664968e-05
ATP6AP1,0.15638286,0.1564145,3.1635165e-05
BIRC3,0.25482664,0.25485814,3.1501055e-05
HECTD1,0.22812434,0.2281558,3.1471252e-05
MAML3,0.24750349,0.24753492,3.142655e-05
ANXA4,0.21105619,0.21108739,3.120303e-05
TUBB2B,0.2702332,0.2702644,3.117323e-05
IQGAP1,0.24156235,0.24159345,3.1098723e-05
APRT,0.19856688,0.19859792,3.103912e-05
UBA52,0.96252316,0.9625541,3.093481e-05
SYNGR1,0.2431292,0.24316007,3.0875206e-05
EIF2AK2,0.21593419,0.21596502,3.0830503e-05
KMT2A,0.23343417,0.23346467,3.0502677e-05
TRPM1,0.20370418,0.2037346,3.0428171e-05
CPQ,0.23080876,0.23083915,3.0383468e-05
CD44,0.9855009,0.9855312,3.0338764e-05
KLF4,0.23800573,0.238036,3.027916e-05
CSF2RA,0.28951988,0.28954998,3.0100346e-05
GDF11,0.2532798,0.25330982,3.0010939e-05
LONP2,0.16952592,0.16955589,2.9966235e-05
MCMBP,0.24412555,0.24415542,2.9876828e-05
PSMB4,0.23640639,0.23643617,2.9787421e-05
RERE,0.41781828,0.41784793,2.965331e-05
ADAMTS2,0.27299523,0.2730249,2.965331e-05
CCL2,0.2668937,0.26692328,2.9563904e-05
ERAP1,0.24941513,0.24944459,2.9459596e-05
HDLBP,0.22003458,0.22006395,2.9370189e-05
GTF2I,0.24417521,0.24420449,2.9280782e-05
TESC,0.23610273,0.23613194,2.9206276e-05
MICAL1,0.2902957,0.29032487,2.9176474e-05
PRDX4,0.2068154,0.20684436,2.8952956e-05
IGFBP7,0.99058914,0.99061805,2.8908253e-05
BSG,0.1628653,0.16289401,2.8714538e-05
GSK3B,0.1991104,0.19913912,2.8714538e-05
COL6A3,0.41121373,0.411242,2.8282404e-05
SGSM3,0.21279146,0.21281962,2.8163195e-05
KDM1B,0.22598308,0.226011,2.7909875e-05
CERCAM,0.23922914,0.23925672,2.758205e-05
JARID2,0.2520256,0.25205308,2.7477741e-05
GALNT2,0.2552518,0.25527924,2.7447939e-05
LOXL4,0.26954842,0.26957586,2.7447939e-05
REST,0.30165556,0.3016828,2.7239323e-05
HSF1,0.15094393,0.15097108,2.7149916e-05
DAPK1,0.2476601,0.24768724,2.7135015e-05
ARL6IP5,0.23429525,0.23432235,2.7105212e-05
NME3,0.19779249,0.19781959,2.7105212e-05
LCP1,0.23539045,0.23541752,2.7060509e-05
TOX4,0.2141279,0.21415475,2.6851892e-05
XYLT1,0.27073342,0.27076024,2.682209e-05
CTDSP2,0.2268609,0.2268876,2.670288e-05
PDIA6,0.27138555,0.2714122,2.6643276e-05
PPP1R11,0.23314637,0.23317301,2.6643276e-05
PDCD4,0.16538756,0.16541407,2.6509166e-05
UBE2G2,0.23462285,0.23464932,2.6464462e-05
SRPRA,0.24228132,0.24230747,2.6151538e-05
FOXO4,0.2658307,0.26585683,2.6136637e-05
PFDN5,0.24442439,0.24445038,2.5987625e-05
BTN3A3,0.2576356,0.25766146,2.5868416e-05
EEA1,0.23312539,0.23315108,2.5689602e-05
RBM12B,0.25954178,0.25956744,2.56598e-05
HRK,0.26913962,0.26916516,2.554059e-05
NLK,0.2301284,0.23015393,2.554059e-05
RIC8B,0.21891882,0.21894436,2.554059e-05
DCAF8,0.2183936,0.21841905,2.5451183e-05
FOXO3,0.19967684,0.19970226,2.5421381e-05
CD276,0.24414837,0.24417375,2.5376678e-05
ALG13,0.20651059,0.2065359,2.5317073e-05
DCAKD,0.25016114,0.2501864,2.527237e-05
TLE1,0.25556818,0.25559342,2.5242567e-05
RELL1,0.19606328,0.19608852,2.5242567e-05
GID8,0.25007015,0.25009513,2.4974346e-05
IGF2BP2,0.2565391,0.256564,2.488494e-05
TNFRSF21,0.1849489,0.1849737,2.4795532e-05
SNRPD2,0.23350705,0.23353183,2.4780631e-05
SDC4,0.1635799,0.16360457,2.4676323e-05
SPRED1,0.25612593,0.25615025,2.4318695e-05
ASXL1,0.19779952,0.19782372,2.4199486e-05
STX4,0.2494589,0.24948302,2.412498e-05
APBA2,0.27138633,0.27141035,2.4020672e-05
DAZAP2,0.25072584,0.25074983,2.399087e-05
IFIT3,0.25550663,0.25553036,2.3722649e-05
