Gene,SPACER Score Before Training,SPACER Score After Training,Difference
SREBF1,-1.0,1.5141386985778809,2.514138698577881
FAM168A,-1.0,1.5139309167861938,2.513930916786194
DDX1,-1.0,1.5129714012145996,2.5129714012145996
PARD6B,-1.0,1.5116504430770874,2.5116504430770874
RABGGTB,-1.0,1.5108962059020996,2.5108962059020996
MST1,-1.0,1.5105279684066772,2.5105279684066772
SACM1L,-1.0,1.5096479654312134,2.5096479654312134
ENC1,-1.0,1.507422924041748,2.507422924041748
NUP62,-1.0,1.5069880485534668,2.506988048553467
POF1B,-1.0,1.5068395137786865,2.5068395137786865
MTA3,-1.0,1.5061060190200806,2.5061060190200806
